Route Count,42,44,37,44,42,48,55,50,45,51,45,38,32
Black-bellied Whistling-Duck,4,5,4,5,0,0,9,0,0,0,3,7,1
Gadwall,0,1,0,0,0,2,2,2,7,2,7,1,4
Mallard,6,21,8,13,42,34,54,35,35,26,26,19,44
(Mexican Duck) Mallard,0,2,0,0,0,0,0,0,0,0,0,0,0
Cinnamon Teal,3,4,5,1,3,8,4,5,1,1,0,1,12
Green-winged Teal,0,2,0,0,0,0,0,0,0,0,4,0,7
Redhead,0,0,0,0,1,0,0,0,4,0,0,0,0
Common Merganser,0,0,0,0,0,0,0,0,0,0,0,0,3
Ruddy Duck,0,1,1,0,8,1,10,10,6,8,0,0,51
Scaled Quail,49,110,58,87,41,87,42,77,47,68,26,17,3
Gambel's Quail,992,1467,728,1059,1091,1661,1199,855,1049,1200,1158,510,362
Montezuma Quail,4,3,0,2,0,4,13,10,4,18,0,0,0
Chukar,0,0,0,0,0,0,0,0,0,0,0,0,3
Ring-necked Pheasant,3,2,0,0,2,0,1,13,3,9,2,1,4
Dusky Grouse,0,0,0,0,0,0,0,0,0,0,1,0,0
Wild Turkey,5,1,2,0,2,0,3,3,7,12,12,4,1
Pied-billed Grebe,5,9,5,5,2,4,5,8,4,7,5,4,9
Eared Grebe,0,0,0,0,0,0,0,0,0,0,0,1,0
Western Grebe,1,4,2,2,0,3,0,1,6,12,13,10,1
Clark's Grebe,4,3,2,0,0,0,1,0,0,0,0,0,0
Double-crested Cormorant,7,56,9,12,12,19,12,28,2,50,23,2,31
Least Bittern,3,1,2,0,0,2,2,3,2,3,7,3,4
Great Blue Heron,20,22,188,17,21,17,23,13,10,16,13,11,7
Great Egret,13,1,1,0,1,2,4,2,7,7,5,1,10
Snowy Egret,0,7,2,1,10,2,3,22,13,5,2,5,5
Cattle Egret,1,3,4,2,20,89,78,3,80,3,3,0,0
Green Heron,1,1,0,2,2,2,1,0,0,4,1,3,0
Black-crowned Night-Heron,10,5,3,0,0,0,1,1,0,0,1,2,1
White-faced Ibis,300,116,1,0,0,0,0,0,0,0,6,14,18
Black Vulture,7,2,0,0,0,10,11,4,0,0,19,3,0
Turkey Vulture,229,208,140,220,162,178,267,249,285,242,254,193,117
California Condor,0,0,0,0,5,0,6,7,12,6,7,3,0
Osprey,0,3,0,0,0,1,5,0,1,0,0,2,1
White-tailed Kite,0,0,0,0,0,0,1,4,1,1,4,1,0
Mississippi Kite,0,0,1,0,0,0,0,0,0,0,1,0,0
Bald Eagle,0,1,0,2,0,0,0,0,1,0,0,0,0
Northern Harrier,1,0,0,0,0,0,6,0,0,1,0,0,1
Sharp-shinned Hawk,0,1,0,1,0,0,1,0,1,0,0,0,0
Cooper's Hawk,5,8,1,3,2,4,8,6,7,4,5,3,3
Northern Goshawk,2,2,0,4,1,2,2,3,0,0,0,1,0
unid. Accipiter Hawk,0,0,0,0,0,1,1,0,0,0,0,0,0
Common Black-Hawk,0,0,0,1,0,1,1,0,0,0,1,0,0
Harris's Hawk,4,5,0,5,7,7,7,2,1,5,10,3,1
Gray Hawk,5,2,10,5,5,2,10,10,14,23,18,22,10
Swainson's Hawk,12,28,30,11,19,19,17,18,20,17,17,14,4
Zone-tailed Hawk,0,2,0,2,1,1,4,1,6,1,2,1,1
Red-tailed Hawk,88,81,73,66,66,97,120,92,101,97,74,83,63
unid. Buteo Hawk,0,0,0,0,0,0,0,0,0,0,1,0,0
Golden Eagle,1,3,2,2,2,1,5,4,2,0,0,1,0
Crested Caracara,0,0,0,0,0,0,1,0,1,0,0,0,0
American Kestrel,38,38,41,31,35,39,41,33,35,51,36,25,25
Peregrine Falcon,0,0,0,2,0,0,1,0,2,0,1,2,1
Prairie Falcon,2,2,3,3,0,5,4,4,2,1,2,2,3
Black Rail,0,0,0,0,1,0,2,0,0,0,0,0,1
Clapper Rail,2,3,2,2,0,7,0,1,4,6,2,5,3
Virginia Rail,9,3,2,1,5,5,3,2,2,4,3,5,4
Sora,0,0,0,0,0,1,0,0,1,1,0,0,0
Common Gallinule,0,3,0,1,1,8,6,1,14,4,2,8,9
American Coot,23,23,36,25,43,18,32,165,120,33,10,3,25
Killdeer,45,40,32,35,29,65,47,44,53,53,29,50,52
Black-necked Stilt,12,0,4,8,13,4,18,5,12,18,5,3,2
Spotted Sandpiper,0,4,2,1,0,0,0,0,0,0,0,0,0
Rock Pigeon,45,54,172,19,76,133,53,21,55,38,20,10,15
Band-tailed Pigeon,69,11,6,24,19,22,24,10,14,32,2,1,1
Eurasian Collared-Dove,0,0,0,3,17,58,135,151,235,298,256,276,238
White-winged Dove,1592,1654,1208,1426,1486,1223,1475,1575,1417,1653,1438,1397,1203
Mourning Dove,2043,2415,1695,1731,2161,2262,2748,2064,1748,1889,1810,1371,1014
Inca Dove,35,24,29,16,20,12,28,10,12,9,3,9,2
Common Ground-Dove,6,6,8,12,13,1,10,5,11,27,22,13,8
Ruddy Ground-Dove,0,0,0,1,0,0,0,0,0,0,0,0,0
Yellow-billed Cuckoo,1,1,0,0,0,0,0,0,0,0,0,0,0
Greater Roadrunner,50,49,37,30,15,37,67,45,78,80,32,20,14
Barn Owl,2,3,0,2,0,0,1,1,1,2,1,0,0
Western Screech-Owl,1,2,1,1,1,2,3,1,3,1,0,2,1
Great Horned Owl,23,13,14,22,11,17,23,11,7,38,21,14,7
Northern Pygmy-Owl,0,0,1,1,0,1,0,2,2,4,0,0,0
Elf Owl,3,5,1,12,0,1,1,1,0,0,0,0,0
Burrowing Owl,5,4,2,0,6,7,10,7,4,4,7,11,12
Spotted Owl,1,1,0,0,1,0,3,1,1,0,0,0,0
Long-eared Owl,0,0,0,0,0,1,0,0,0,0,0,0,0
Northern Saw-whet Owl,0,0,0,0,0,0,1,0,0,0,0,0,0
Lesser Nighthawk,219,215,188,142,95,111,84,116,139,141,172,179,134
Common Nighthawk,48,100,16,40,6,25,41,19,3,27,9,12,4
Common Poorwill,15,14,6,38,6,7,6,3,5,11,2,3,2
Mexican Whip-poor-will,2,2,0,4,1,3,2,3,2,1,0,0,0
White-throated Swift,102,42,141,101,84,54,52,53,43,44,64,45,3
Broad-billed Hummingbird,4,3,2,4,3,3,4,0,8,7,5,13,8
Violet-crowned Hummingbird,0,0,0,0,2,0,0,0,0,0,0,1,1
Blue-throated Hummingbird,0,2,0,0,0,4,1,2,2,0,0,0,0
Magnificent Hummingbird,0,1,0,0,1,0,2,0,0,0,0,0,0
Black-chinned Hummingbird,33,34,23,28,19,16,29,19,28,33,20,17,16
Anna's Hummingbird,3,6,4,0,6,9,13,5,9,10,16,12,9
Costa's Hummingbird,3,27,9,20,6,7,9,11,12,24,10,4,4
Broad-tailed Hummingbird,37,33,48,46,43,40,80,29,41,45,20,16,20
unid. Hummingbird,4,8,6,9,4,3,6,8,6,14,11,8,5
Elegant Trogon,3,0,0,0,0,2,1,2,0,1,0,0,0
Belted Kingfisher,0,0,1,0,0,0,1,0,0,0,1,0,0
Lewis's Woodpecker,3,0,1,0,1,0,4,0,2,1,2,0,0
Acorn Woodpecker,165,121,84,55,56,71,122,72,118,128,88,60,100
Gila Woodpecker,286,287,223,308,186,236,264,230,291,295,267,205,126
Williamson's Sapsucker,0,4,3,10,9,10,8,6,6,2,1,1,10
Red-naped Sapsucker,0,0,0,1,3,1,1,2,0,2,0,0,2
unid. Sapsucker,11,13,0,13,5,0,2,16,12,7,4,11,10
Ladder-backed Woodpecker,91,93,68,85,66,66,81,79,88,86,75,79,50
Downy Woodpecker,1,0,0,0,1,1,4,2,1,1,0,1,1
Hairy Woodpecker,39,33,19,40,53,53,62,39,72,54,31,19,29
Arizona Woodpecker,3,6,4,2,2,5,3,4,1,3,7,0,2
American Three-toed Woodpecker,0,2,0,0,3,0,4,3,0,0,0,2,3
(Red-shafted Flicker) Northern Flicker,131,66,75,65,81,94,121,153,111,123,76,55,67
(unid. Red/Yellow Shafted) Northern Flicker,4,0,0,3,6,0,0,6,0,0,0,0,0
Gilded Flicker,91,135,45,117,112,101,102,78,91,101,88,48,27
Northern Beardless-Tyrannulet,1,3,7,3,5,5,3,3,3,7,3,4,6
Olive-sided Flycatcher,3,9,9,10,11,26,12,14,13,9,4,3,3
