common teal,new york,june 30
little grebe,michigan,may 15
bald eagle,michigan,june 09
common teal,kansas,may 24
albatross,new york,july 22
common teal,michigan,june 24
shoebill,missouri,august 07
little grebe,michigan,august 01
common teal,kansas,july 29
long-tailed duck,missouri,may 07
flamingo,new york,june 30
heron,new york,may 05
shoebill,kansas,june 28
little grebe,maine,august 02
bald eagle,kansas,june 16
albatross,maine,june 14
bald eagle,kentucky,august 17
stork,new york,september 02
long-tailed duck,missouri,june 20
albatross,michigan,may 23
stork,michigan,september 05
shoebill,maine,july 14
common teal,kentucky,july 01
stork,kentucky,june 30
bald eagle,kentucky,july 04
heron,maine,september 13
stork,kentucky,may 18
shoebill,new york,may 04
flamingo,kentucky,may 27
common teal,maine,july 17
flamingo,kentucky,august 22
bald eagle,new york,july 24
shoebill,new york,august 05
stork,new york,may 08
long-tailed duck,michigan,november 27
heron,kentucky,august 15
little grebe,kentucky,may 28
little grebe,kentucky,august 13
stork,new york,april 30
stork,maine,april 23
bald eagle,kentucky,june 19
shoebill,kentucky,november 09
flamingo,maine,june 13
flamingo,michigan,march 28
heron,kansas,august 24
albatross,missouri,august 11
stork,kentucky,june 30
flamingo,kansas,july 28
shoebill,kentucky,april 03
shoebill,michigan,june 22
flamingo,michigan,june 09
vulture,kentucky,july 26
flamingo,missouri,july 25
shoebill,kansas,july 02
common teal,maine,august 12
flamingo,maine,june 27
heron,michigan,may 01
long-tailed duck,kentucky,november 04
bald eagle,kentucky,june 24
shoebill,missouri,june 26
little grebe,kentucky,july 28
vulture,michigan,july 14
little grebe,maine,september 13
vulture,michigan,july 15
bald eagle,michigan,june 26
albatross,missouri,may 22
stork,new york,july 25
stork,michigan,june 28
albatross,maine,june 25
long-tailed duck,kansas,july 17
common teal,new york,june 07
vulture,maine,july 06
little grebe,kentucky,july 15
flamingo,michigan,september 28
bald eagle,missouri,september 07
stork,michigan,september 23
stork,kentucky,july 23
little grebe,kentucky,september 30
long-tailed duck,missouri,july 23
albatross,michigan,february 23
flamingo,maine,april 23
stork,missouri,august 09
little grebe,michigan,july 13
flamingo,maine,august 27
flamingo,michigan,september 09
vulture,new york,july 03
long-tailed duck,kansas,may 13
flamingo,new york,june 13
shoebill,kentucky,june 17
little grebe,missouri,august 04
shoebill,maine,april 09
common teal,michigan,may 26
long-tailed duck,missouri,september 13
common teal,new york,july 19
albatross,kentucky,july 08
albatross,kentucky,august 26
common teal,new york,september 10
bald eagle,new york,august 05
heron,kentucky,september 03
stork,new york,october 26
shoebill,michigan,august 21
vulture,missouri,july 22
vulture,missouri,november 04
albatross,kentucky,august 08
flamingo,kentucky,june 13
flamingo,kentucky,october 28
heron,kentucky,july 18
vulture,michigan,august 17
heron,kentucky,august 10
vulture,new york,october 31
bald eagle,missouri,july 16
long-tailed duck,missouri,july 16
long-tailed duck,kansas,july 28
heron,missouri,august 14
heron,kansas,july 16
common teal,michigan,november 08
bald eagle,missouri,july 30
long-tailed duck,maine,july 14
flamingo,kansas,july 07
little grebe,kentucky,august 30
long-tailed duck,missouri,june 01
stork,maine,may 10
little grebe,kentucky,june 06
little grebe,missouri,september 04
long-tailed duck,missouri,july 22
albatross,missouri,august 23
bald eagle,maine,june 19
long-tailed duck,kansas,july 31
shoebill,michigan,august 27
shoebill,new york,august 04
long-tailed duck,kansas,september 07
little grebe,missouri,june 17
long-tailed duck,new york,october 16
heron,maine,september 18
little grebe,michigan,october 01
bald eagle,new york,april 23
vulture,kansas,june 28
flamingo,new york,june 16
long-tailed duck,michigan,april 05
little grebe,kansas,september 19
stork,maine,june 30
shoebill,missouri,july 18
albatross,michigan,august 13
bald eagle,new york,april 29
heron,michigan,july 20
stork,michigan,july 23
albatross,michigan,march 14
little grebe,missouri,august 05
stork,michigan,september 04
common teal,new york,july 17
common teal,kentucky,june 17
flamingo,michigan,july 12
little grebe,new york,july 13
bald eagle,kansas,july 25
shoebill,missouri,july 04
little grebe,kansas,august 18
vulture,new york,july 02
common teal,michigan,april 18
common teal,michigan,september 18
flamingo,new york,june 09
flamingo,new york,may 20
vulture,michigan,may 10
stork,missouri,june 04
shoebill,new york,september 24
vulture,kansas,september 16
albatross,michigan,june 29
little grebe,michigan,august 27
common teal,missouri,september 12
flamingo,kansas,may 12
stork,new york,august 30
shoebill,kansas,may 29
shoebill,kansas,september 22
flamingo,kansas,september 06
little grebe,kentucky,july 01
long-tailed duck,michigan,july 12
stork,missouri,october 20
little grebe,kansas,august 05
vulture,maine,september 27
heron,maine,august 30
common teal,kentucky,november 01
vulture,new york,september 18
heron,michigan,july 31
long-tailed duck,missouri,august 08
shoebill,kentucky,october 12
shoebill,kansas,july 10
heron,new york,august 14
heron,kentucky,august 31
long-tailed duck,maine,may 29
long-tailed duck,kansas,may 23
heron,kansas,august 01
shoebill,kansas,march 24
little grebe,kentucky,july 04
stork,new york,september 03
bald eagle,new york,may 28
stork,missouri,august 24
flamingo,maine,august 13
heron,kansas,march 01
shoebill,kansas,september 29
bald eagle,maine,june 20
